"SchoolId","FinanceId","SchoolName","SchoolNetworkName","Meeting01","Meeting02","Meeting03","Meeting04","Meeting05","Meeting06","Meeting07","Meeting08","Meeting09","Meeting10","Meeting11","Meeting12","Meeting13","Meeting14","Meeting15","Meeting16","Meeting17","Meeting18","Meeting19","Meeting20","Meeting21","Meeting22","Meeting23","Meeting24"
"609981","23671","HEARST","Midway","07/2012 ","08/30/2012 05:30 PM","09/27/2012 05:30 PM","10/30/2012 05:30 PM","11/29/2012 05:30 PM","12/2012 ","01/31/2013 05:30 PM","02/28/2013 05:30 PM","03/27/2013 05:30 PM","04/25/2013 05:30 PM","05/30/2013 05:30 PM","06/13/2013 05:30 PM","","","","","","","","","","","",""
"609983","23681","HEDGES","Pershing","07/2012 ","08/15/2012 09:15 AM","09/06/2012 09:15 AM","10/04/2012 09:15 AM","11/01/2012 09:15 AM","12/06/2012 09:15 AM","01/10/2013 09:15 AM","02/07/2013 09:15 AM","03/07/2013 09:15 AM","04/11/2013 09:15 AM","05/02/2013 09:15 AM","06/06/2013 09:15 AM","","","","","","","","","","","",""
"609985","23711","HEFFERAN","Garfield-Humboldt","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/2013 ","02/2013 ","03/2013 ","04/2013 ","05/2013 ","06/2013 ","","","","","","","","","","","",""
"609986","23721","HENDERSON","Englewood-Gresham","07/2012 ","08/27/2012 03:00 PM","09/17/2012 03:00 PM","10/29/2012 03:00 PM","11/19/2012 03:00 PM","12/13/2012 03:00 PM","01/22/2013 03:00 PM","02/19/2013 03:00 PM","03/18/2013 03:00 PM","04/15/2013 03:00 PM","05/20/2013 03:00 PM","06/07/2013 03:15 PM","","","","","","","","","","","",""
"609987","31121","HENDRICKS","Pershing","07/2012 ","08/2012 ","09/12/2012 03:30 PM","10/10/2012 03:30 PM","11/14/2012 03:30 PM","12/11/2012 03:30 PM","01/09/2013 03:30 PM","02/13/2013 03:30 PM","03/13/2013 03:30 PM","04/10/2013 03:30 PM","05/08/2013 03:30 PM","06/12/2013 03:30 PM","","","","","","","","","","","",""
"609988","23731","HENRY","O'Hare","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/15/2013 05:30 PM","02/19/2013 05:30 PM","03/19/2013 05:30 PM","04/16/2013 02:00 PM","05/16/2013 02:00 PM","06/2013 ","","","","","","","","","","","",""
"610240","25971","HENSON","Austin-North Lawndale","07/2012 ","08/29/2012 05:00 PM","09/26/2012 05:00 PM","10/31/2012 05:00 PM","11/28/2012 05:00 PM","12/19/2012 05:00 PM","01/30/2013 05:00 PM","02/27/2013 05:00 PM","03/27/2013 05:00 PM","04/24/2013 05:00 PM","05/29/2013 05:00 PM","06/26/2013 05:00 PM","","","","","","","","","","","",""
"609989","23741","HERBERT","Fulton","07/2012 ","08/20/2012 03:30 PM","09/17/2012 03:30 PM","10/01/2012 03:30 PM","11/05/2012 03:30 PM","12/03/2012 03:30 PM","01/21/2013 03:30 PM","02/04/2013 03:30 PM","03/04/2013 03:30 PM","04/01/2013 03:30 PM","05/06/2013 03:30 PM","06/03/2013 03:30 PM","","","","","","","","","","","",""
"610532","22441","HERNANDEZ","Midway","07/2012 ","08/2012 ","09/06/2012 09:00 AM","10/04/2012 09:00 AM","11/08/2012 09:00 AM","12/06/2012 09:00 AM","01/10/2013 09:00 AM","02/07/2013 09:00 AM","03/07/2013 09:00 AM","04/18/2013 09:00 AM","05/02/2013 09:00 AM","06/06/2013 09:00 AM","","","","","","","","","","","",""
"609961","31101","HEROES","Skyway","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/09/2013 02:45 PM","02/06/2013 02:45 PM","03/06/2013 02:45 PM","04/03/2013 02:45 PM","05/01/2013 02:45 PM","06/05/2013 02:45 PM","","","","","","","","","","","",""
